JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits
account clerk,14822700.48,82339.97,191257.3,5336301.99,15096297.75,20432599.74
accountant,233215.86,0.0,3930.48,0.0,237146.34,237146.34
accountant i,494222.66,0.0,2066.15,208688.7,496288.81,704977.51
accountant ii,15114899.08,1900.36,105476.37,6267165.62,15222275.81,21489441.43
accountant iii,21787700.82,2000.87,172596.2,7989814.69,21962297.89,29952112.58
accountant intern,4001986.84,2319.96,23215.61,1234979.96,4027522.41,5262502.37
accountant iv,15804469.99,620.55,135151.75,5304223.71,15940242.29,21244466.0
"acpo,juvp, juv prob (sfers)",62290.78,0.0,0.0,17975.59,62290.78,80266.37
acupuncturist,287264.9,0.0,8424.0,92533.22,295688.9,388222.12
"adm, sfgh medical center",795656.34,0.0,14486.0,231096.78,810142.34,1041239.12
admin analyst 3,400953.86,0.0,19152.65,149072.62,420106.51,569179.13
admin hearing examiner,1601491.77,0.0,2861.35,461521.05,1604353.12,2065874.17
administrative analyst,31321247.71,15075.97,156618.19,9989553.25,31492941.87,41482495.12
administrative analyst i,57020.73,0.0,4041.58,5707.25,61062.31,66769.56
administrative analyst ii,234331.91,0.0,4246.65,55996.65,238578.56,294575.21
administrative analyst iii,185397.03,0.0,0.0,0.0,185397.03,185397.03
administrative engineer,4770632.6,0.0,112867.96,1113126.18,4883500.56,5996626.74
administrative hearing sup,95320.05,213.46,1270.0,34986.75,96803.51,131790.26
administrative services manager,226665.1,0.0,4381.64,0.0,231046.74,231046.74
administrative services mgr,1013675.06,0.0,470.4,369949.09,1014145.46,1384094.55
"administrator, dph",513460.12,0.0,40.8,149627.15,513500.92,663128.07
"administrator, sfgh medical center",245124.44,0.0,12000.0,0.0,257124.44,257124.44
admission attendant,3442116.73,162427.6,60795.48,1508991.84,3665339.81,5174331.65
affirmative action specialist,409063.9,0.0,220.0,0.0,409283.9,409283.9
agricultural inspector,479223.94,0.0,5451.44,166978.41,484675.38,651653.79
"airport assistant deputy director, business admini",1927.5,0.0,0.0,0.0,1927.5,1927.5
"airport assistant deputy director, operations",15420.0,0.0,0.0,0.0,15420.0,15420.0
airport communications disp,5698977.61,946445.98,330539.31,2366490.82,6975962.9,9342453.72
airport communications officer,167627.4,0.0,0.0,76876.06,167627.4,244503.46
airport communications operator,1826364.85,273413.88,93021.13,0.0,2192799.86,2192799.86
airport communications supervisor,173171.65,510.27,2678.08,0.0,176360.0,176360.0
airport economic planner,5639367.5,0.0,30432.04,1430582.85,5669799.54,7100382.39
airport electrician,6357880.74,660469.44,376021.72,1707057.95,7394371.9,9101429.85
airport electrician supervisor,772868.2,43543.28,86555.64,200956.51,902967.12,1103923.63
airport emerg planning coord,632601.28,0.0,7093.75,288511.4,639695.03,928206.43
airport emergency planning coordinator,151731.87,0.0,0.0,0.0,151731.87,151731.87
airport mechanical maint sprv,266569.54,689.69,33446.59,92920.82,300705.82,393626.64
airport mechanical maintenance supervisor,118978.52,0.0,9555.65,0.0,128534.17,128534.17
airport noise abatement spec,549740.06,293.9,5653.84,227044.34,555687.8,782732.14
airport noise abatement specialist,98217.45,0.0,777.0,0.0,98994.45,98994.45
airport operations supervisor,4365492.51,497405.85,183603.94,1241020.8,5046502.3,6287523.1
airport police services aide,9570424.91,1024561.05,649311.19,0.0,11244297.15,11244297.15
airport property specialist 1,3248996.2,0.0,5885.23,1143996.11,3254881.43,4398877.54
airport property specialist i,994914.51,0.0,14949.45,0.0,1009863.96,1009863.96
airport safety officer,11626610.45,1779319.28,533912.59,3599500.99,13939842.32,17539343.31
airports communications sprv,570100.06,2616.29,6954.53,213444.9,579670.88,793115.78
anesthetist,12283638.91,226584.24,683469.86,2777143.53,13193693.01,15970836.54
animal care assistant supervisor,55018.51,0.0,1280.11,0.0,56298.62,56298.62
animal care asst supv,177078.39,0.0,3554.32,81642.66,180632.71,262275.37
animal care attendant,2452976.65,79699.18,54530.51,883412.05,2587206.34,3470618.39
animal care supervisor,188156.24,0.0,64671.4,59064.43,252827.64,311892.07
